,name,date,time code,loc,wea,datetimelabel
2330,pale billed flowerpecker,20230323,22,B7,cloudy,20230323_22
2331,black kite,20230323,23,B7,cloudy,20230323_23
2332,black kite,20230323,24,B7,cloudy,20230323_24
2333,large billed crow,20230323,24,B7,cloudy,20230323_24
2334,western crowned warbler,20230323,24,B7,cloudy,20230323_24
2335,rose ringed parakeet,20230323,26,B7,cloudy,20230323_26
2336,white cheeked barbet,20230323,30,B7,cloudy,20230323_30
2337,black kite,20230323,30,B7,cloudy,20230323_30
2338,large billed crow,20230323,30,B7,cloudy,20230323_30
2339,large billed crow,20230323,36,B7,cloudy,20230323_36
2340,black kite,20230323,36,B7,cloudy,20230323_36
2341,black kite,20230323,38,B7,cloudy,20230323_38
2342,large billed crow,20230323,38,B7,cloudy,20230323_38
2343,white cheeked barbet,20230323,39,B7,cloudy,20230323_39
2344,black kite,20230323,39,B7,cloudy,20230323_39
2345,rose ringed parakeet,20230323,40,B7,cloudy,20230323_40
2346,large billed crow,20230323,40,B7,cloudy,20230323_40
2347,black kite,20230323,41,B7,cloudy,20230323_41
2348,black kite,20230323,42,B7,cloudy,20230323_42
2349,black kite,20230323,43,B7,cloudy,20230323_43
2350,black kite,20230323,44,B7,cloudy,20230323_44
2351,black kite,20230323,45,B7,cloudy,20230323_45
2352,large billed crow,20230323,45,B7,cloudy,20230323_45
2353,black kite,20230323,48,B7,cloudy,20230323_48
2354,oriental magpie robin,20230321,0,Jubilee,sunny,20230321_0
2355,oriental magpie robin,20230321,1,Jubilee,sunny,20230321_1
2356,oriental magpie robin,20230321,2,Jubilee,sunny,20230321_2
2357,oriental magpie robin,20230321,3,Jubilee,sunny,20230321_3
2358,large billed crow,20230321,4,Jubilee,sunny,20230321_4
2359,large billed crow,20230321,5,Jubilee,sunny,20230321_5
2360,indian peafowl,20230321,5,Jubilee,sunny,20230321_5
2361,large billed crow,20230321,10,Jubilee,sunny,20230321_10
2362,large billed crow,20230321,11,Jubilee,sunny,20230321_11
2363,oriental magpie robin,20230321,13,Jubilee,sunny,20230321_13
2364,large billed crow,20230321,13,Jubilee,sunny,20230321_13
2365,oriental magpie robin,20230321,14,Jubilee,sunny,20230321_14
2366,booted eagle,20230321,27,Jubilee,sunny,20230321_27
2367,booted eagle,20230321,29,Jubilee,sunny,20230321_29
2368,booted eagle,20230321,30,Jubilee,sunny,20230321_30
2369,large billed crow,20230321,30,Jubilee,sunny,20230321_30
2370,black kite,20230321,30,Jubilee,sunny,20230321_30
2371,booted eagle,20230321,31,Jubilee,sunny,20230321_31
2372,booted eagle,20230321,32,Jubilee,sunny,20230321_32
2373,black kite,20230321,32,Jubilee,sunny,20230321_32
2374,black kite,20230321,33,Jubilee,sunny,20230321_33
2375,booted eagle,20230321,33,Jubilee,sunny,20230321_33
2376,oriental magpie robin,20230321,33,Jubilee,sunny,20230321_33
2377,oriental magpie robin,20230321,34,Jubilee,sunny,20230321_34
2378,booted eagle,20230321,34,Jubilee,sunny,20230321_34
2379,black kite,20230321,35,Jubilee,sunny,20230321_35
2380,booted eagle,20230321,35,Jubilee,sunny,20230321_35
2381,oriental magpie robin,20230321,35,Jubilee,sunny,20230321_35
2382,ashy drongo,20230321,40,Jubilee,sunny,20230321_40
2383,black naped monarch,20230321,45,Jubilee,sunny,20230321_45
2384,large billed crow,20230321,48,Jubilee,sunny,20230321_48
2385,large billed crow,20230321,50,Jubilee,sunny,20230321_50
2386,large billed crow,20230321,51,Jubilee,sunny,20230321_51
2387,large billed crow,20230321,52,Jubilee,sunny,20230321_52
2388,black kite,20230321,54,Jubilee,sunny,20230321_54
2389,ashy drongo,20230311,0,Rocks,,20230311_0
2390,rose ringed parakeet,20230311,1,Rocks,,20230311_1
2391,black kite,20230311,1,Rocks,,20230311_1
2392,house crow,20230311,1,Rocks,,20230311_1
2393,blythes reed warbler,20230311,1,Rocks,,20230311_1
2394,spotted dove,20230311,2,Rocks,,20230311_2
2395,black kite,20230311,3,Rocks,,20230311_3
2396,booted eagle,20230311,3,Rocks,,20230311_3
2397,purple sunbird,20230311,4,Rocks,,20230311_4
2398,booted eagle,20230311,7,Rocks,,20230311_7
2399,purple sunbird,20230311,8,Rocks,,20230311_8
2400,black kite,20230311,8,Rocks,,20230311_8
2401,purple sunbird,20230311,9,Rocks,,20230311_9
2402,black kite,20230311,9,Rocks,,20230311_9
2403,ashy drongo,20230311,11,Rocks,,20230311_11
2404,black kite,20230311,12,Rocks,,20230311_12
2405,booted eagle,20230311,12,Rocks,,20230311_12
2406,black kite,20230311,13,Rocks,,20230311_13
2407,booted eagle,20230311,13,Rocks,,20230311_13
2408,ashy prinia,20230311,13,Rocks,,20230311_13
2409,ashy prinia,20230311,14,Rocks,,20230311_14
2410,booted eagle,20230311,14,Rocks,,20230311_14
2411,black kite,20230311,14,Rocks,,20230311_14
2412,black kite,20230311,20,Rocks,,20230311_20
2413,ashy drongo,20230311,20,Rocks,,20230311_20
2414,red whiskered bulbul,20230311,20,Rocks,,20230311_20
2415,pale billed flowerpecker,20230311,20,Rocks,,20230311_20
2416,red whiskered bulbul,20230311,21,Rocks,,20230311_21
2417,booted eagle,20230311,21,Rocks,,20230311_21
2418,red whiskered bulbul,20230311,22,Rocks,,20230311_22
2419,red whiskered bulbul,20230311,23,Rocks,,20230311_23
2420,black kite,20230311,23,Rocks,,20230311_23
2421,booted eagle,20230311,23,Rocks,,20230311_23
2422,oriental magpie robin,20230311,24,Rocks,,20230311_24
2423,booted eagle,20230311,25,Rocks,,20230311_25
2424,red whiskered bulbul,20230311,27,Rocks,,20230311_27
2425,oriental magpie robin,20230311,27,Rocks,,20230311_27
2426,chestnut tailed starling,20230311,28,Rocks,,20230311_28
2427,oriental magpie robin,20230311,29,Rocks,,20230311_29
2428,booted eagle,20230311,29,Rocks,,20230311_29
2429,black kite,20230311,29,Rocks,,20230311_29
2430,black kite,20230311,30,Rocks,,20230311_30
2431,large billed crow,20230311,33,Rocks,,20230311_33
2432,booted eagle,20230311,40,Rocks,,20230311_40
